DNI,Nombre Completo,Zona,Prioridad,Hora de Registro
65805151,Gabriela Perez Solis,Staff,3,1041
52858206,Guillermo Alvarez Medina,VIP,5,0944
85841398,Manuel Sanchez Moreno,Prensa,4,1923
24679479,Elena Herrera Alvarez,Prensa,4,1653
19897767,Cristian Mamani Medina,Discapacitado,2,0935
49413230,Felipe Gomez Martin,General A,2,1941
26049441,Patricia Martinez Acosta,VIP,5,2117
55031643,Rodrigo Solis Herrera,Discapacitado,2,2046
82893970,Mario Ruiz Lopez,General A,2,1845
63538418,Paola Romero Diaz,General A,2,2238
15998553,Alejandra Torres Medina,Prensa,4,0802
25417875,Marco Diaz Sanchez,Discapacitado,2,2211
82942237,Elena Rojas Martinez,Staff,3,1240
10901248,Paulina Acosta Castillo,Staff,3,1030
91300324,Carolina Vargas Martinez,Discapacitado,2,1704
41351518,Angel Rios Gonzales,Staff,3,1638
63138782,Elizabeth Jimenez Medina,General A,2,1527
51771006,Mateo Rojas Torres,VIP,5,1139
19622068,Samuel Martin Sanchez,Prensa,4,0957
94779607,Claudia Alvarez Sanchez,General B,1,1626
37081888,Valeria Romero Moreno,General B,1,0941
29140648,Fabian Castro Vargas,Prensa,4,1450
50325504,Martin Jimenez Castro,Discapacitado,2,1743
92483578,Catalina Martinez Herrera,VIP,5,1918
86171149,Juana Rios Rodriguez,General A,2,1328
26672210,Valeria Navarro Soto,General A,2,1515
19274484,Estefania Perez Jimenez,General A,2,1252
63176104,Paulina Lopez Martinez,Discapacitado,2,1744
74603447,Gabriela Castillo Soto,Staff,3,0940
89499201,Marco Medina Castillo,VIP,5,1844
98451817,Angel Lopez Fernandez,General A,2,2159
62504270,Nicolas Gomez Lopez,Platino,4,1404
86242482,Leonardo Castro Vargas,VIP,5,1128
37397713,Valeria Soto Jimenez,Prensa,4,0818
74170621,Rafael Gomez Ruiz,General B,1,1532
97899036,Marcela Solis Castro,VIP,5,1725
52840384,Sebastian Perez Rios,Staff,3,2145
60103728,Adriana Acosta Garcia,Platino,4,1849
19865806,Clara Navarro Medina,VIP,5,2156
77384940,Alejandra Gomez Castillo,General A,2,1908
41517179,Catalina Martinez Solis,Prensa,4,1426
52391953,Isabel Martinez Rios,General A,2,0920
22780971,Ricardo Mamani Vargas,General B,1,1550
17331502,Jesus Castillo Torres,General A,2,1730
57288745,Pilar Flores Perez,General B,1,1847
79120722,Luis Garcia Soto,General A,2,1555
13004207,Rosa Solis Quispe,General B,1,1000
36654202,Felipe Jimenez Rodriguez,VIP,5,1820
35841010,Andrea Mamani Soto,VIP,5,1756
59945379,Manuela Fernandez Rios,VIP,5,1856
21261379,Javier Navarro Garcia,Staff,3,0853
89449713,Elena Castillo Moreno,General A,2,1848
79965288,Manuela Solis Castro,General B,1,1827
64393328,Fernanda Medina Moreno,General B,1,1449
48663847,Pablo Martin Rodriguez,General B,1,1009
59618128,Daniela Navarro Martin,Staff,3,1448
75637631,Manuel Ruiz Jimenez,Platino,4,2238
69457249,Marco Lopez Fernandez,General A,2,1634
78814858,Rosa Castro Fernandez,Discapacitado,2,1456
60702878,Ana Rojas Rios,VIP,5,0848
63524919,Gabriela Rojas Medina,Prensa,4,1113
69168666,David Jimenez Herrera,Discapacitado,2,1333
47236347,Leonardo Ruiz Garcia,General A,2,1241
41203820,Alejandro Torres Acosta,Prensa,4,0936
83637503,Julio Solis Soto,Staff,3,1509
35536273,Julio Ruiz Torres,Discapacitado,2,1844
80149444,Catalina Ruiz Martinez,Prensa,4,2247
99629574,Valeria Lopez Rodriguez,Prensa,4,2104
52490532,Cristian Lopez Castro,Prensa,4,1439
95384260,Felipe Garcia Vargas,General B,1,1743
17139540,Tomas Ruiz Martin,Staff,3,1923
80570053,Ricardo Torres Perez,General A,2,1239
53524411,Julia Soto Martin,General B,1,1238
90046500,Paulina Martinez Vargas,Platino,4,1624
97033271,Clara Moreno Medina,Staff,3,2005
74379826,Cecilia Martinez Medina,General A,2,1330
37615748,Alejandro Solis Rios,Discapacitado,2,2000
95933715,Florencia Quispe Sanchez,General B,1,1554
99692592,Antonio Rios Mamani,General A,2,1120
45417084,Victor Quispe Soto,General B,1,0944
14062433,Roberto Medina Soto,Prensa,4,1910
90527045,Victor Martinez Flores,Platino,4,1830
45252337,Manuela Castro Perez,Platino,4,2027
48701369,Gustavo Jimenez Medina,Staff,3,2224
29745884,Ana Sanchez Castillo,VIP,5,1406
38728868,Daniela Fernandez Alvarez,Discapacitado,2,2204
85855581,Sofia Quispe Herrera,Discapacitado,2,0921
77141305,Hector Romero Acosta,Prensa,4,1845
28778440,Esteban Castillo Rodriguez,Prensa,4,1047
57681183,Manuela Ruiz Quispe,Discapacitado,2,1919
48469449,Andrea Ruiz Rodriguez,General B,1,1051
66828817,Mariana Torres Flores,Discapacitado,2,2203
84310848,Marta Quispe Fernandez,VIP,5,1559
95739798,Leonardo Fernandez Mamani,General B,1,1017
82894767,Elena Medina Herrera,Prensa,4,1228
10758974,Diego Quispe Gomez,Staff,3,2108
59627766,Ana Castro Sanchez,Staff,3,1204
78008052,Antonio Jimenez Flores,General B,1,0852
29179093,Julia Rodriguez Alvarez,Discapacitado,2,2126
12723877,Elizabeth Alvarez Gonzales,General A,2,2014
39972989,Jesus Martinez Ruiz,General B,1,1528
65265444,Elena Martin Solis,VIP,5,2054
31575547,Jesus Lopez Quispe,Staff,3,0814
74189082,Jimena Martin Medina,General A,2,1336
21628379,Felipe Rios Mamani,General A,2,1701
94742385,Gabriel Fernandez Torres,Discapacitado,2,2052
10774203,Fernanda Gonzales Martinez,Discapacitado,2,1659
12896965,Ivan Alvarez Quispe,Platino,4,2010
89751592,Javier Ruiz Acosta,General B,1,2044
51072410,Marco Castillo Ruiz,General A,2,1613
26215182,Mariana Castillo Rodriguez,VIP,5,1852
65962080,Andrea Sanchez Soto,Prensa,4,1008
34574553,Manuela Flores Torres,Discapacitado,2,1809
35943957,Rosa Solis Fernandez,Discapacitado,2,1840
50834551,Carolina Rios Rodriguez,Platino,4,1957
51405555,Pedro Soto Vargas,Staff,3,1152
56987824,Sergio Ruiz Garcia,General B,1,2206
98335312,Esteban Alvarez Mamani,VIP,5,1048
15669996,Florencia Rios Mamani,Staff,3,1748
23919820,Nicolas Gonzales Flores,VIP,5,1942
34665298,Juan Acosta Castillo,Discapacitado,2,1328
55206774,Julia Mamani Rodriguez,General A,2,1231
66628446,Valentina Castro Jimenez,Prensa,4,1742
66157117,Javiera Medina Solis,Staff,3,0823
98707212,Clara Castillo Solis,VIP,5,1657
66064528,Luis Fernandez Lopez,Discapacitado,2,1249
39575663,Mariana Perez Medina,Prensa,4,0848
88896154,Juana Castillo Gonzales,Prensa,4,2017
73473672,Fabiana Diaz Acosta,VIP,5,1358
74722688,Gustavo Romero Garcia,Discapacitado,2,1742
48206448,Javier Solis Castro,Prensa,4,1759
50665067,Natalia Fernandez Soto,General A,2,1003
14080372,Margarita Castro Romero,Staff,3,1404
77420043,Angel Herrera Garcia,Prensa,4,1848
79213055,Roberto Flores Rios,Platino,4,1257
15058797,Mariana Acosta Quispe,Platino,4,1237
82744127,Angel Gonzales Medina,Prensa,4,1941
78261633,Luis Romero Gonzales,VIP,5,2118
29768183,Sergio Perez Fernandez,General B,1,1413
66144392,Estefania Torres Fernandez,VIP,5,1610
96792994,Fabiana Romero Mamani,Prensa,4,0900
68695916,Alejandra Alvarez Sanchez,Discapacitado,2,1610
22181340,Paulina Mamani Fernandez,Platino,4,1719
17095899,Marco Castillo Rojas,Prensa,4,2012
41584826,Mariana Alvarez Lopez,Platino,4,0848
59277115,Andres Gonzales Rojas,General A,2,1736
86124762,Gabriela Medina Gonzales,General A,2,1502
42788014,Eduardo Sanchez Gomez,VIP,5,1755
36117697,Natalia Castillo Rodriguez,Discapacitado,2,0859
92063722,Daniel Navarro Ruiz,General B,1,2215
76282152,Valeria Lopez Flores,General B,1,1520
87591789,Emilia Ruiz Rodriguez,VIP,5,0844
12305779,Martin Rodriguez Rojas,Discapacitado,2,2134
99726465,Daniel Acosta Perez,General A,2,2226
15156428,Pablo Rios Acosta,VIP,5,1645
18994808,Josefa Rodriguez Flores,General A,2,1621
50035367,Monica Medina Quispe,General A,2,1824
20558049,David Garcia Ruiz,General B,1,1959
72493789,David Vargas Navarro,Platino,4,1845
66480130,Jimena Rodriguez Mamani,General A,2,1332
67424622,Monica Herrera Rojas,VIP,5,0940
21379966,Juana Solis Gomez,Platino,4,1617
92257921,Oscar Sanchez Alvarez,Prensa,4,1640
87707486,Maria Ruiz Sanchez,Platino,4,1045
71458040,Fabian Navarro Martin,General A,2,1507
90866338,Jesus Lopez Diaz,General B,1,1649
77474527,Samuel Solis Jimenez,Platino,4,2100
43320166,Marta Rodriguez Moreno,Discapacitado,2,1307
61421666,Valentina Herrera Castillo,General B,1,0957
96596613,Sergio Castro Rojas,VIP,5,2158
62022737,Manuela Moreno Ruiz,General B,1,1619
13438605,Santiago Medina Diaz,Discapacitado,2,1344
31871951,Monica Rodriguez Medina,VIP,5,1844
23337068,Marta Rodriguez Romero,VIP,5,1724
99073238,Mateo Quispe Rojas,VIP,5,1002
18451632,Tomas Diaz Sanchez,Staff,3,1137
45324836,Carla Perez Torres,Prensa,4,1357
26289545,Samuel Rojas Fernandez,Staff,3,1603
41978993,Fernanda Medina Sanchez,Platino,4,1657
48510272,Emilio Gomez Rios,Platino,4,0936
53039492,Fabian Jimenez Romero,Platino,4,1314
39632125,Valentina Sanchez Flores,Staff,3,1416
72620141,Carla Medina Alvarez,Staff,3,2059
14932151,Esteban Gonzales Lopez,Platino,4,2038
86063928,Emilia Alvarez Sanchez,Platino,4,2112
46292544,Sofia Perez Vargas,Staff,3,2044
27789796,Patricia Castillo Gonzales,General B,1,1424
96531673,Manuela Quispe Flores,Platino,4,1305
57678179,Valentina Perez Ruiz,General B,1,1622
15726292,Rodrigo Diaz Alvarez,General B,1,1353
42415325,Santiago Torres Martin,VIP,5,1840
49298328,Diana Romero Gonzales,General B,1,1758
37937859,Ivan Lopez Perez,Prensa,4,2143
59274351,Monica Acosta Romero,General B,1,2002
52903937,Ricardo Martin Flores,Staff,3,1524
92337352,Patricia Medina Mamani,VIP,5,1537
16519939,Clara Gomez Rios,VIP,5,2241
93889794,Carlos Sanchez Mamani,Discapacitado,2,2108
15149515,Marco Soto Torres,Platino,4,1543
97430176,Diana Diaz Ruiz,VIP,5,1209
38660530,Angel Diaz Garcia,General B,1,0826
63671525,Alicia Alvarez Rojas,VIP,5,1651
83751110,Natalia Rios Castillo,Platino,4,1018
69806716,Daniel Flores Diaz,General A,2,1949
96778369,Juana Diaz Vargas,Discapacitado,2,1844
60037675,Marcela Acosta Medina,General A,2,2106
35678585,Alejandra Navarro Torres,General A,2,1226
77857775,Fabiana Rojas Martin,Platino,4,2258
60067304,Gabriela Rios Martin,General A,2,2020
68541869,Pilar Jimenez Fernandez,Platino,4,1738
31249126,Valentina Rojas Acosta,VIP,5,2037
68368224,Carla Rojas Garcia,Staff,3,1728
97880083,Leonardo Gonzales Diaz,Discapacitado,2,2046
75170117,Jimena Quispe Gomez,VIP,5,1811
49719283,Juana Jimenez Sanchez,Prensa,4,1802
53431794,Mario Rios Jimenez,Discapacitado,2,2246
38988309,Florencia Lopez Quispe,Staff,3,1805
57784248,Andres Alvarez Castillo,Discapacitado,2,1610
68518345,Maria Solis Fernandez,VIP,5,2138
98143477,Fabian Castro Sanchez,General B,1,1313
51068553,Alicia Diaz Fernandez,Prensa,4,1447
41853754,Javier Gomez Perez,Staff,3,1411
77023849,Cecilia Romero Gomez,Staff,3,1632
15838842,Paulina Medina Sanchez,General B,1,1105
54090791,Carla Garcia Rios,General B,1,2042
77488451,Antonio Moreno Sanchez,Prensa,4,1301
35517181,David Vargas Alvarez,Discapacitado,2,1912
32717075,David Torres Gomez,General B,1,1331
25982149,Daniel Solis Diaz,Platino,4,1259
73768794,Pilar Vargas Soto,Platino,4,2120
98667746,Sofia Flores Romero,General A,2,2108
66819832,Felipe Moreno Medina,Staff,3,1411
10929559,Juana Mamani Solis,Discapacitado,2,0930
12288109,Juana Gonzales Rojas,VIP,5,1219
53965463,Ana Torres Alvarez,Staff,3,1244
49951625,Jose Jimenez Herrera,General B,1,1942
22773408,Miguel Sanchez Moreno,Discapacitado,2,1728
92763572,Fabian Ruiz Torres,Platino,4,2039
75709289,Santiago Acosta Herrera,General A,2,1347
90628988,Nicolas Rodriguez Mamani,Discapacitado,2,1524
53531875,Miguel Perez Lopez,Platino,4,1409
52153933,Cristina Mamani Navarro,VIP,5,1550
76139624,Margarita Rojas Soto,General A,2,1503
76960578,Pedro Quispe Soto,General B,1,2148
46067647,Ivan Diaz Lopez,Discapacitado,2,1911
83921359,Daniel Moreno Perez,Platino,4,1825
65859949,Leonardo Romero Castro,VIP,5,1822
54391729,Luis Medina Alvarez,General B,1,1627
43538331,Ana Alvarez Martin,Discapacitado,2,1957
62613663,Mariana Garcia Torres,General A,2,1514
49330335,Valeria Martinez Jimenez,General B,1,2202
51688451,Nicolas Diaz Vargas,Discapacitado,2,0907
10435704,Fernando Diaz Gonzales,Staff,3,0817
52018442,Leonardo Martin Lopez,Discapacitado,2,1000
43219410,Cristian Diaz Jimenez,Platino,4,2210
32896270,Alicia Diaz Soto,Platino,4,1606
30095229,Estefania Flores Garcia,Discapacitado,2,1312
69981328,Rodrigo Martinez Mamani,General A,2,1744
91776820,Francisco Castro Martinez,Prensa,4,1201
55225291,Andrea Diaz Quispe,Discapacitado,2,2138
94527696,Alicia Flores Moreno,General A,2,1056
54439442,Margarita Soto Ruiz,Discapacitado,2,2223
15015567,Marcela Moreno Vargas,General A,2,1628
67850363,Paulina Martin Rios,Staff,3,1203
21200994,Gustavo Soto Martin,Platino,4,2029
11229390,Antonio Gomez Herrera,Prensa,4,1137
63052509,Isabel Torres Perez,Discapacitado,2,1533
63590114,Cecilia Perez Romero,Prensa,4,0926
63242214,Mateo Torres Castillo,VIP,5,1534
54534118,Rosa Castillo Navarro,VIP,5,1709
98815157,Adriana Torres Lopez,General B,1,1728
69814991,Martin Vargas Soto,General B,1,1555
13933688,Luis Castillo Sanchez,Staff,3,1505
86162517,Gabriela Diaz Mamani,Discapacitado,2,1405
97218859,Isabel Martin Gonzales,Discapacitado,2,1848
43774803,Josefa Torres Garcia,VIP,5,2223
25313577,Cecilia Flores Acosta,VIP,5,1813
64479253,Paola Soto Castro,Discapacitado,2,1844
69480122,Estefania Castillo Perez,Prensa,4,0918
97718762,Jorge Fernandez Castro,General A,2,1940
90017880,Antonio Jimenez Perez,General B,1,1657
13297653,Esteban Rodriguez Perez,Prensa,4,1026
64591711,Diana Solis Castro,Staff,3,1021
45968273,Carmen Medina Castro,Platino,4,2156
36987261,Alejandro Acosta Vargas,Prensa,4,2014
97558279,Natalia Rios Flores,Staff,3,1907
80742645,Paola Martinez Castillo,Discapacitado,2,1457
28847111,Florencia Martinez Perez,Discapacitado,2,0934
16529780,Marco Lopez Martin,General A,2,1936
16921168,Florencia Fernandez Torres,VIP,5,2105
89338591,Elizabeth Sanchez Mamani,VIP,5,1146
80810340,Marcela Sanchez Flores,General A,2,1520
60162644,Juana Castro Mamani,Platino,4,0940
19544184,Pedro Castillo Rojas,General B,1,2237
34404084,Francisco Gomez Moreno,Discapacitado,2,1733
53439896,Mariana Rodriguez Medina,Platino,4,1238
42645781,Andres Perez Rojas,Discapacitado,2,1921
59971831,Gabriela Ruiz Sanchez,General B,1,0837
11861951,Julia Garcia Alvarez,Prensa,4,2042
28804875,Florencia Fernandez Castillo,Discapacitado,2,1111
92902939,Estefania Torres Fernandez,VIP,5,1707
61944638,Mario Martin Mamani,Discapacitado,2,1211
68054683,Camila Castillo Lopez,General A,2,0912
55098327,Mateo Gomez Martinez,Staff,3,1641
21238289,Diana Martinez Fernandez,General B,1,1840
76499579,Guillermo Fernandez Ruiz,General B,1,2050
99757167,Patricia Rojas Gonzales,General B,1,1550
49975900,Diana Martinez Perez,General B,1,1101
52082469,Alejandro Quispe Martinez,Discapacitado,2,0816
31347286,Clara Garcia Sanchez,General B,1,1149
71486852,Jesus Vargas Alvarez,Platino,4,1304
29983932,Daniela Sanchez Medina,General B,1,2038
78471378,David Fernandez Castro,Platino,4,1607
72891213,Javiera Navarro Lopez,Platino,4,0848
74197740,David Gomez Rojas,VIP,5,1311
34782773,Fernando Martinez Rios,General A,2,1204
97236670,Elena Rios Jimenez,Discapacitado,2,1041
30502887,Javiera Flores Martin,Staff,3,1848
11227377,Adriana Alvarez Ruiz,General A,2,1143
12587587,Estefania Torres Herrera,Staff,3,1710
17809743,Javier Martin Quispe,General B,1,0945
67981206,Jesus Soto Gonzales,Discapacitado,2,1915
49038282,Cristian Castro Ruiz,General A,2,1704
72160729,Marta Mamani Martinez,General B,1,0810
11296714,Mariana Rios Mamani,Discapacitado,2,1058
85042470,Claudia Alvarez Castro,Staff,3,1914
69322490,Monica Ruiz Torres,Discapacitado,2,1420
15739767,Maria Mamani Alvarez,Discapacitado,2,1255
43074554,Gabriela Solis Acosta,General A,2,1654
33796209,Jorge Perez Rios,Prensa,4,1551
68392819,Mateo Romero Flores,Prensa,4,1706
30976535,Ricardo Martinez Rios,VIP,5,0823
83989764,Gabriel Castro Vargas,General A,2,2137
37302695,Miguel Martin Fernandez,VIP,5,2151
19820098,Pablo Gonzales Solis,Platino,4,1051
88248497,Andres Soto Alvarez,Discapacitado,2,1131
89104582,Diego Martin Jimenez,General A,2,1058
15469745,Jorge Mamani Garcia,Discapacitado,2,2003
52682000,Florencia Jimenez Gonzales,Discapacitado,2,1747
97305873,Adriana Martinez Alvarez,VIP,5,1749
47060738,Manuel Torres Alvarez,Prensa,4,1830
41695216,Diego Medina Lopez,Platino,4,1031
25960079,Alejandra Acosta Moreno,Platino,4,1803
85399879,Emilio Lopez Fernandez,Prensa,4,1511
60663555,Clara Jimenez Torres,VIP,5,1646
37841416,Valeria Gomez Martinez,Staff,3,1034
74046439,Miguel Martinez Jimenez,General A,2,2138
25433961,Juan Gomez Gonzales,VIP,5,2023
24396152,Paola Martin Sanchez,Prensa,4,2220
92307181,Samuel Perez Flores,General B,1,1415
46072247,Esteban Diaz Rojas,Discapacitado,2,1736
49772725,Valeria Alvarez Soto,Discapacitado,2,0931
20763956,Camila Mamani Rojas,General A,2,1759
18741484,Paola Fernandez Martin,Discapacitado,2,0838
33826515,Martin Navarro Herrera,Staff,3,1151
59220693,Natalia Jimenez Alvarez,Platino,4,1609
56276747,Claudia Rodriguez Soto,General B,1,1621
83455031,Alicia Moreno Herrera,VIP,5,1034
52101913,Luis Rodriguez Navarro,General A,2,1041
96462717,Luisa Sanchez Lopez,Prensa,4,1235
37057693,Paola Flores Medina,General B,1,1156
70564376,Natalia Rodriguez Rojas,General A,2,0838
97278478,Pilar Rodriguez Jimenez,Platino,4,1658
51300333,Paulina Soto Moreno,Platino,4,1346
99234827,Mateo Sanchez Mamani,General A,2,2016
76966920,Mario Castro Garcia,VIP,5,1140
65856198,Miguel Quispe Diaz,General B,1,1131
45005466,Sofia Solis Mamani,Staff,3,1515
58770232,Emilio Fernandez Gonzales,Platino,4,2224
46779859,Marco Castillo Rodriguez,Platino,4,0823
40615779,Cristian Ruiz Solis,Prensa,4,2143
53143550,Jesus Diaz Rodriguez,Platino,4,0909
49259990,Gabriela Perez Moreno,Prensa,4,1016
68480819,Monica Rodriguez Acosta,VIP,5,2113
43171197,Sebastian Mamani Diaz,Staff,3,0909
17458042,David Vargas Gonzales,General A,2,1701
41689594,Marta Medina Lopez,VIP,5,1846
18507752,Oscar Herrera Soto,Staff,3,1545
54303528,Carolina Gomez Lopez,Platino,4,1156
98432252,Estefania Torres Vargas,Platino,4,1825
61197737,Francisco Alvarez Medina,Prensa,4,2050
78594116,Rafael Rodriguez Castillo,Staff,3,2112
61646814,Cristian Rojas Quispe,Prensa,4,1156
13434079,Jose Soto Garcia,General A,2,1311
52980123,Pilar Rodriguez Solis,VIP,5,0843
12862850,Julio Torres Solis,General A,2,0946
